"site","standunique","stockdens","siteage","logged","year","jd","time","temp","obs","firstyr","W1","W2","W3","W4","W5","W6","W7","W8","W9","year.unscale","temp.unscale","jd.unscale","time.unscale","siteage.unscale"
1,235,9,-0.561287683032346,0,-0.867930659853561,-1.09157675201459,-0.606378969952463,-0.505207314515469,79,0,1,0,0,0,0,0,0,0,0,2009,55,175,6.11666666666667,89
1,235,9,-0.391385187877163,0,0.881707336994224,0.330758208715772,1.16823815486554,0.751937568256145,92,1,0,0,1,1,0,2,0,0,0,2012,64,180,8.26666666666667,92
1,235,9,-0.504653517980618,0,-0.284717994237633,0.330758208715772,-1.63813311228851,-2.32108325629669,85,1,0,0,0,0,0,0,0,1,0,2010,42,180,4.86666666666667,90
1,235,9,-0.334751022825435,0,1.46492000261015,-2.22944472059888,-1.28045834294535,-0.365524549763067,92,0,2,0,0,0,2,0,0,0,0,2013,56,171,5.3,93
1,235,9,-0.617921848084074,0,-1.45114332546949,-0.807109759868518,0.0401869592447953,0.472572038751342,78,1,2,0,0,0,0,0,0,0,0,2008,62,176,6.9,88
1,235,9,-0.448019352928891,0,0.298494671378296,0.0462912165696997,-1.63813311228851,-1.20362113827748,86,1,2,0,0,0,0,0,0,0,0,2011,50,179,4.86666666666667,91
2,235,9,-0.504653517980618,0,-0.284717994237633,0.330758208715772,-1.45929572761693,-2.32108325629669,85,1,0,2,0,0,0,0,0,0,0,2010,42,180,5.08333333333333,90
2,235,9,-0.448019352928891,0,0.298494671378296,0.0462912165696997,-1.44553900571912,-1.20362113827748,86,1,2,0,0,0,0,0,0,0,0,2011,50,179,5.1,91
2,235,9,-0.391385187877163,0,0.881707336994224,0.330758208715772,1.44337259282182,1.03130309776095,92,1,4,1,0,0,0,0,0,0,0,2012,66,180,8.6,92
2,235,9,-0.617921848084074,0,-1.45114332546949,-0.807109759868518,-0.138650425426787,0.472572038751342,78,1,2,1,0,1,0,0,0,0,0,2008,62,176,6.68333333333333,88
2,235,9,-0.334751022825435,0,1.46492000261015,-2.22944472059888,-1.07410751447814,-0.365524549763067,92,0,1,1,1,0,0,0,0,0,0,2013,56,171,5.55,93
2,235,9,-0.561287683032346,0,-0.867930659853561,-1.09157675201459,-0.785216354624045,-0.225841785010666,79,0,4,0,0,0,0,0,0,0,0,2009,57,175,5.9,89
3,235,9,-0.561287683032346,0,-0.867930659853561,-1.09157675201459,-1.18416128966065,-0.505207314515469,79,0,0,0,1,0,0,0,0,0,0,2009,55,175,5.41666666666667,89
3,235,9,-0.448019352928891,0,0.298494671378296,0.0462912165696997,-1.25294489914972,-1.06393837352508,86,1,2,0,0,1,0,0,0,0,0,2011,51,179,5.33333333333333,91
3,235,9,-0.504653517980618,0,-0.284717994237633,0.330758208715772,-1.18416128966065,-2.32108325629669,85,1,2,1,0,0,0,0,1,0,0,2010,42,180,5.41666666666667,90
3,235,9,-0.617921848084074,0,-1.45114332546949,-0.807109759868518,-0.358757975791811,0.472572038751342,78,1,2,0,0,0,1,0,0,0,0,2008,62,176,6.41666666666667,88
